countryyearcode,SLE,countrycode,countryname,year,,region,regionname,incomelevel,incomelevelname,GRxGincSC2022,GRxGincSC2021,GDP per capita (constant 2015 US$),GRpcUNUWIDER 2022,GRpc UNU WIDER,Pop total,"Population ages 00-04, female","Population ages 00-04, male",Pop<5,"Population ages 15-19, female","Population ages 20-24, female","Population ages 25-29, female","Population ages 30-34, female","Population ages 35-39, female","Population ages 40-44, female","Population ages 45-49, female",Female Pop15-49,"Mortality rate, infant (per 1,000 live births)",INFANT SURVIVAL ,Number of infants surviving to 1yr,"Birth rate, crude (per 1,000 people)",Number of births,"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Maternal survival per 100,000 live births",Maternal survival rate %,"Mortality rate, under-5 (per 1,000 live births)",U5 survival rate (per 1000 live births),U5 survival %,Number of children surviving to five ,Number of maternal deaths,Number of under-five deaths,"School life expectancy, primary and secondary, both sexes (years)",School percent,People using at least basic drinking water services (% of population),People using safely managed drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed sanitation services (% of population),"Immunization, DPT (% of children ages 12-23 months)",Control of Corruption: Estimate,Government Effectiveness: Estimate,Political Stability and Absence of Violence/Terrorism: Estimate,Regulatory Quality: Estimate,Rule of Law: Estimate,Voice and Accountability: Estimate,Out of school: Primary school,Out of school: Lower school,Out of school: Upper school,In school: Primary school,In school: Lower school,In school: Upper school
AUS2007,0,AUS,Australia,2007,1000,EAS,East Asia and Pacific,HIC,High income,0.367580502,0.368610556,52538.98,19312.30463,19366.42262,20827600,643843,678543,1322386,705276,735819,699737,747485,756179,763504,754233,5162233,4.5,995.5,292347.6488,14.1,293669.16,5,"99,995",100,5.4,994.6,99.46,292083.3465,15,1510,16.0924,94.66117647,99.8213,,99.9911,61.6896,92,2.010918,1.825559,0.9287898,1.683095,1.761237,1.3692,0.01,0.03,0.1,0.99,0.97,0.9
AUS2008,0,AUS,Australia,2008,1000,EAS,East Asia and Pacific,HIC,High income,0.338463009,0.339407518,53338.6,18053.14305,18103.52183,21249200,667106,703609,1370715,714337,755815,736368,736923,781122,757610,769279,5251454,4.4,995.6,296179.8493,14,297488.8,5,"99,995",100,5.2,994.8,99.48,295941.8582,15,1492,16.0754,94.56117647,99.8426,,99.9911,62.6565,92,2.042482,1.79397,0.9556448,1.765919,1.770851,1.368076,0.01,0.03,0.1,0.99,0.97,0.9
AUS2009,0,AUS,Australia,2009,1000,EAS,East Asia and Pacific,HIC,High income,0.337070143,0.338192145,53225.95,17940.87857,18000.5982,21691700,690837,728968,1419805,716959,774342,775115,733934,802670,757451,781467,5341938,4.2,995.8,300248.2686,13.9,301514.63,5,"99,995",100,5,995,99.5,300007.0569,16,1461,16.0584,94.46117647,99.8637,,99.9911,63.6235,92,2.051661,1.705787,0.855689,1.819984,1.740398,1.383792,0,0.02,0.1,1,0.98,0.9
AUS2010,0,AUS,Australia,2010,1000,EAS,East Asia and Pacific,HIC,High income,0.33645969,0.337801609,53542.83,18015.00396,18086.8541,22031750,707487,746286,1453773,711776,786337,806370,740883,812020,762313,785790,5405489,4,996,300627.6351,13.7,301834.975,5,"99,995",100,4.8,995.2,99.52,300386.1671,16,1419,16.0414,94.36117647,99.8831,,99.9911,64.5904,92,2.032045,1.768468,0.8888599,1.698415,1.764987,1.419766,0,0.02,0.09,1,0.98,0.91
AUS2011,0,AUS,Australia,2011,1000,EAS,East Asia and Pacific,HIC,High income,0.333086639,0.33315217,54108.11,18022.68849,18026.23427,22340024,726538,768853,1495391,716969,792004,825751,754399,807421,772378,783437,5452359,3.8,996.2,302669.794,13.6,303824.3264,6,"99,994",99.99,4.5,995.5,99.55,302457.1169,18,1370,16.0244,94.26117647000001,99.892,,99.9911,65.5573,92,2.04471,1.695814,0.9357101,1.858609,1.742514,1.453721,0,0.02,0.08,1,0.98,0.92
AUS2012,0,AUS,Australia,2012,1000,EAS,East Asia and Pacific,HIC,High income,0.339714716,0.339162948,55254.61,18770.80413,18740.31645,22733465,739557,782864,1522421,723938,799676,845029,783371,798703,792656,781067,5524440,3.6,996.4,310327.256,13.7,311448.4705,6,"99,994",99.99,4.3,995.7,99.57,310109.2421,18,1319,16.0074,94.16117647,99.9008,,99.9911,66.5242,92,1.985249,1.62129,0.9979972,1.786468,1.766858,1.49919,0,0.01,0.07,1,0.99,0.93
AUS2013,0,AUS,Australia,2013,1000,EAS,East Asia and Pacific,HIC,High income,0.344785684,0.344173528,55723.95,19212.8202,19178.70847,23128129,746402,788999,1535401,728091,806556,861436,819790,789073,814394,779435,5598775,3.5,996.5,306527.5013,13.3,307604.1157,6,"99,994",99.99,4.1,995.9,99.59,306342.9388,19,1272,15.990400000000001,94.06117647,99.9096,,99.9911,67.4911,91,1.785226,1.640055,1.031073,1.800868,1.778535,1.436414,0,0.01,0.06,1,0.99,0.94
AUS2014,0,AUS,Australia,2014,1000,EAS,East Asia and Pacific,HIC,High income,0.347512513,0.346370061,56305.98,19567.03261,19502.70573,23475686,750718,792358,1543076,727043,810646,874060,853891,785550,828575,780869,5660634,3.4,996.6,308825.4664,13.2,309879.0552,6,"99,994",99.99,4,996,99.6,308639.539,20,1236,15.9734,93.96117647,99.9615,,99.9911,68.458,92,1.853722,1.607067,1.032192,1.863708,1.923046,1.361716,0,0.01,0.05,1,0.99,0.95
AUS2015,15.9564,AUS,Australia,2015,1000,EAS,East Asia and Pacific,HIC,High income,0.357109333,0.354884441,56707.02,20250.60608,20124.43909,23815995,757500,799229,1556729,722927,812284,884822,882239,793970,833814,787712,5717768,3.3,996.7,306212.4886,12.9,307226.3355,6,"99,994",99.99,3.9,996.1,99.61,306028.1528,20,1212,15.9564,93.86117647,99.97,,99.9911,69.4249,93,1.882711,1.564191,0.8849798,1.788684,1.825073,1.355591,0,0.01,0.04,1,0.99,0.96
AUS2016,15.6996,AUS,Australia,2016,1000,EAS,East Asia and Pacific,HIC,High income,0.36476174,0.362636072,57358.78,20922.2884,20800.36265,24190907,763277,804587,1567864,724021,807852,888281,903211,810920,834912,798303,5767500,3.2,996.8,311064.0997,12.9,312062.7003,6,"99,994",99.99,3.8,996.2,99.62,310876.862,21,1198,15.6996,92.35058824,99.97,,99.9911,70.3918,94,1.816108,1.568043,1.047958,1.896966,1.755667,1.353702,0,0.01,0.04,1,0.99,0.96
AUS2017,15.5677,AUS,Australia,2017,1000,EAS,East Asia and Pacific,HIC,High income,0.365802425,0.364443239,57695.57,21105.1794,21026.7604,24601860,777284,819284,1596568,727113,803470,889745,919964,838770,829545,814869,5823476,3.2,996.8,308991.489,12.6,309983.436,6,"99,994",99.99,3.8,996.2,99.62,308805.4989,20,1191,15.5677,91.57470588,99.9699,,99.9911,71.3588,95,1.798351,1.538219,0.8960608,1.933411,1.686461,1.375636,0,0.01,0.03,1,0.99,0.97
AUS2018,14.6681,AUS,Australia,2018,1000,EAS,East Asia and Pacific,HIC,High income,0.363613564,0.370137595,58447.25,21252.2129,21633.52454,24982688,794602,838004,1632606,731126,797931,887552,930774,871447,820676,832242,5871748,3.2,996.8,313774.5668,12.6,314781.8688,,,,3.7,996.3,99.63,313617.1759,,1187,14.6681,86.28294118,99.9699,,99.9911,72.3257,95,1.805214,1.595232,0.989604,1.902706,1.715382,1.380593,0,0.01,0.03,1,0.99,0.97
AUS2019,0,AUS,Australia,2019,1000,EAS,East Asia and Pacific,HIC,High income,0.343321548,0.342846791,58781.05,20180.80106,20152.89435,25365745,810359,855171,1665530,738438,793558,883984,938763,903450,817919,846351,5922463,3.2,996.8,305943.3529,12.1,306925.5145,,,,3.7,996.3,99.63,305789.8901,,1183,,,99.9699,,99.9911,73.2926,95,1.825413,1.571555,0.9117457,1.873689,1.734473,1.267441,0,0.01,0.03,1,0.99,0.97
AUS2020,0,AUS,Australia,2020,1000,EAS,East Asia and Pacific,HIC,High income,0.367113243,0,58029.52,21303.40525,0,25693267,818368,864002,1682370,748061,789287,877788,942973,928279,824549,852227,5963164,3.1,996.9,294556.6055,11.5,295472.5705,,,,3.7,996.3,99.63,294379.322,,1176,,,99.9698,,99.9911,74.2595,95,1.665165,1.619163,0.8487522,1.816904,1.651188,1.304121,0,0.01,0.03,1,0.99,0.97
AUS2021,,AUS,Australia,2021,1000,EAS,East Asia and Pacific,HIC,High income,,,58780.33,,,25739256,818785,864746,1683531,754540,777915,860318,932993,936369,830722,842348,5935205,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.02,1,0.99,0.98
AUT1980,0,AUT,Austria,1980,1000,ECS,Europe and Central Asia,HIC,High income,,,25520.74,,,7549433,208283,218787,427070,313732,283239,243100,255721,278614,242482,209359,1826247,13.9,986.1,89333.95058,12,90593.196,,,,16.2,983.8,98.38,89125.58622,,1423,11.23634,66.096117646,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1981,11.2463,AUT,Austria,1981,1000,ECS,Europe and Central Asia,HIC,High income,,,25419.01,,,7568710,208461,219086,427547,316347,292521,248415,251145,278663,251733,212163,1850987,13.2,986.8,92613.15755,12.4,93852.004,,,,15.5,984.5,98.45,92397.29794,,1356,11.2463,66.15470588,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1982,11.1858,AUT,Austria,1982,1000,ECS,Europe and Central Asia,HIC,High income,,,25911.66,,,7574140,209857,220553,430410,316567,300352,256208,246667,274806,260952,217264,1872816,12.6,987.4,93483.82295,12.5,94676.75,,,,14.8,985.2,98.52,93275.5341,,1295,11.1858,65.79882353,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1983,11.2513,AUT,Austria,1983,1000,ECS,Europe and Central Asia,HIC,High income,,,26725.19,,,7561910,211568,222289,433857,314009,306257,265336,242971,268068,268816,223906,1889363,11.9,988.1,88915.88692,11.9,89986.729,,,,14.1,985.9,98.59,88717.91612,,1233,11.2513,66.18411765,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1984,11.2412,AUT,Austria,1984,1000,ECS,Europe and Central Asia,HIC,High income,,,26740.58,,,7561434,213277,224048,437325,309647,311234,275257,242025,261404,274766,231983,1906316,11.3,988.7,88216.67959,11.8,89224.9212,,,,13.3,986.7,98.67,88038.22975,,1169,11.2412,66.12470588,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1985,11.3671,AUT,Austria,1985,1000,ECS,Europe and Central Asia,HIC,High income,,,27395.87,,,7564985,214120,224980,439100,303110,314840,284665,244146,255829,277635,240557,1920782,10.7,989.3,86814.86006,11.6,87753.826,,,,12.6,987.4,98.74,86648.12779,,1102,11.3671,66.86529412,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1986,11.7324,AUT,Austria,1986,1000,ECS,Europe and Central Asia,HIC,High income,,,28008.55,,,7569794,217959,228833,446792,294725,317505,293873,249238,250707,276666,248731,1931445,10.1,989.9,86173.39943,11.5,87052.631,,,,11.9,988.1,98.81,86016.70469,,1035,11.7324,69.01411765,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1987,11.868,AUT,Austria,1987,1000,ECS,Europe and Central Asia,HIC,High income,,,28370.72,,,7574586,216158,226926,443084,284108,318728,302696,257715,246644,272830,257659,1940380,9.4,990.6,85538.58776,11.4,86350.2804,,,,11.1,988.9,98.89,85391.79229,,970,11.868,69.81176471,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1988,12.0347,AUT,Austria,1988,1000,ECS,Europe and Central Asia,HIC,High income,,,29264.32,,,7585317,211211,221843,433054,272129,318195,310858,268623,244389,267267,266238,1947699,8.9,991.1,87206.56907,11.6,87989.6772,,,,10.5,989.5,98.95,87065.78559,,914,12.0347,70.79235294,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1989,12.1522,AUT,Austria,1989,1000,ECS,Europe and Central Asia,HIC,High income,,,30265.19,,,7619567,207418,218032,425450,260492,315893,318479,280778,245216,262114,273244,1956216,8.4,991.6,87644.52659,11.6,88386.9772,,,,10,990,99,87503.10743,,872,12.1522,71.48352941,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1990,12.3057,AUT,Austria,1990,1000,ECS,Europe and Central Asia,HIC,High income,,,31340.68,,,7677850,207728,218557,426285,250031,311438,325102,293003,249564,258445,277623,1965206,8,992,89873.84096,11.8,90598.63,,,,9.5,990.5,99.05,89737.94302,,840,12.3057,72.38647059,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1991,12.3888,AUT,Austria,1991,1000,ECS,Europe and Central Asia,HIC,High income,,,32097.24,,,7754891,207247,218268,425515,243901,308424,332647,305927,256797,253529,276085,1977310,7.7,992.3,93881.17574,12.2,94609.6702,,,,9.1,990.9,99.09,93748.7222,,808,12.3888,72.87529412,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1992,12.5409,AUT,Austria,1992,1000,ECS,Europe and Central Asia,HIC,High income,,,32410.54,,,7840709,212490,223883,436373,237975,302466,338869,318614,267643,249932,271343,1986842,7.2,992.8,94967.92192,12.2,95656.6498,,,,8.6,991.4,99.14,94834.00261,,767,12.5409,73.77,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1993,12.636,AUT,Austria,1993,1000,ECS,Europe and Central Asia,HIC,High income,,,32313.71,,,7905633,220817,232644,453461,232079,293322,342274,329649,280139,247790,263704,1988957,6.7,993.3,94231.98311,12,94867.596,,,,8,992,99.2,94108.65523,,716,12.636,74.32941176,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1994,12.6425,AUT,Austria,1994,1000,ECS,Europe and Central Asia,HIC,High income,,,32962.82,,,7936118,227350,239477,466827,226964,282333,341982,338428,292439,247899,255144,1985189,6.2,993.8,91488.20319,11.6,92058.9688,,,,7.4,992.6,99.26,91377.73243,,660,12.6425,74.36764706,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1995,12.6214,AUT,Austria,1995,1000,ECS,Europe and Central Asia,HIC,High income,0.496807537,0.49680753,33790.48,16787.36514,16787.3649,7948278,228882,241058,469940,223925,271475,338425,345554,304204,251280,247996,1982859,5.7,994.3,88513.29553,11.2,89020.7136,,,,6.8,993.2,99.32,88415.37275,,604,12.6214,74.24352941,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1996,12.5479,AUT,Austria,1996,1000,ECS,Europe and Central Asia,HIC,High income,0.511207456,0.511207455,34537.74,17655.95022,17655.95016,7959017,229640,242012,471652,222435,259116,328611,348647,314461,258055,244683,1976008,5.3,994.7,88668.54315,11.2,89140.9904,,,,6.3,993.7,99.37,88579.40216,,554,12.5479,73.81117647,,,,,90,1.732164,1.73165,1.410498,1.658712,1.808153,1.44895,NaN,NaN,NaN,NaN,NaN,NaN
AUT1997,12.5229,AUT,Austria,1997,1000,ECS,Europe and Central Asia,HIC,High income,0.496962537,0.496962548,35220.89,17503.46285,17503.46325,7968041,224981,237210,462191,224245,248079,316359,350400,324259,267866,242711,1973919,5,995,83246.10835,10.5,83664.4305,,,,6,994,99.4,83162.44392,,515,12.5229,73.66411765,,,,,90,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT1998,11.9648,AUT,Austria,1998,1000,ECS,Europe and Central Asia,HIC,High income,0.495279165,0.495279174,36442.29,18049.10695,18049.10729,7976789,216305,228127,444432,227957,238880,302693,350330,333249,279780,242610,1975499,4.8,995.2,80972.70421,10.2,81363.2478,,,,5.8,994.2,99.42,80891.34096,,486,11.9648,70.38117647,,,,,82,1.851166,1.87274,1.111129,1.403709,1.847457,1.354779,NaN,NaN,NaN,NaN,NaN,NaN
AUT1999,12.0211,AUT,Austria,1999,1000,ECS,Europe and Central Asia,HIC,High income,0.494655257,0.494655263,37664.94,18631.16057,18631.1608,7992324,207480,218807,426287,231482,232230,289227,347839,341181,292417,245085,1979461,4.7,995.3,77956.64876,9.8,78324.7752,,,,5.6,994.4,99.44,77886.15646,,464,12.0211,70.71235294,,,,,74,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AUT2000,12.0421,AUT,Austria,2000,1000,ECS,Europe and Central Asia,HIC,High income,0.486283961,0.486283953,38842.89,18888.67442,18888.67408,8011566,201273,212147,413420,233324,228271,276797,342336,347515,304542,250296,1983081,4.6,995.4,78152.1854,9.8,78513.3468,6,"99,994",99.99,5.5,994.5,99.45,78081.52339,5,449,12.0421,70.83588235,100,96.4543,100,99.6816,81,1.809211,1.929282,0.8238267,1.534618,1.842372,1.317559,0.03,0.02,0.1,0.97,0.98,0.9
AUT2001,12.0391,AUT,Austria,2001,1000,ECS,Europe and Central Asia,HIC,High income,0.506941532,0.506941526,39184.81,19864.4076,19864.40737,8042293,193066,203624,396690,237331,230628,266998,333951,351302,315500,257811,1993521,4.5,995.5,75257.36521,9.4,75597.5542,6,"99,994",99.99,5.4,994.6,99.46,75189.32741,5,435,12.0391,70.81823529,100,96.6607,100,99.6794,84,,,,,,,0.03,0.01,0.09,0.97,0.99,0.91
AUT2002,11.9414,AUT,Austria,2002,1000,ECS,Europe and Central Asia,HIC,High income,0.496731764,0.496731779,39636.48,19688.69864,19688.69924,8081957,190089,200472,390561,238976,236482,259042,323344,353665,325665,268167,2005341,4.4,995.6,78050.04498,9.7,78394.9829,6,"99,994",99.99,5.3,994.7,99.47,77979.48949,5,423,11.9414,70.24352941,100,96.867,100,99.6772,83,1.966434,1.942698,1.362206,1.58584,1.891656,1.307497,0.02,0.01,0.08,0.98,0.99,0.92
AUT2003,11.9224,AUT,Austria,2003,1000,ECS,Europe and Central Asia,HIC,High income,0.494844545,0.494844542,39815.22,19702.34441,19702.3443,8121423,190875,201191,392066,238664,244071,253302,311395,353971,334420,280194,2016017,4.3,995.7,76821.75837,9.5,77153.5185,6,"99,994",99.99,5.2,994.8,99.48,76752.3202,5,409,11.9224,70.13176471,100,97.0733,99.9984,99.6733,84,2.019736,1.995846,0.9633993,1.569717,1.887247,1.343882,0.02,0.01,0.07,0.98,0.99,0.93
AUT2004,11.9191,AUT,Austria,2004,1000,ECS,Europe and Central Asia,HIC,High income,0.489001805,0.489001807,40651.23,19878.52483,19878.52494,8171966,192748,203036,395784,238396,251462,250848,300420,352371,342211,292964,2028672,4.2,995.8,78935.14431,9.7,79268.0702,5,"99,995",100,5.1,994.9,99.49,78863.80304,4,395,11.9191,70.11235294,100,97.2797,99.9965,99.6692,83,2.049625,1.865303,1.090582,1.524203,1.836986,1.475651,0.02,0.01,0.06,0.98,0.99,0.94
AUT2005,11.9729,AUT,Austria,2005,1000,ECS,Europe and Central Asia,HIC,High income,0.48647176,0.48647175,41281.27,20082.17208,20082.17168,8227829,193313,203568,396881,239140,256892,251694,291446,348493,348789,305323,2041777,4.1,995.9,77843.90156,9.5,78164.3755,6,"99,994",99.99,4.9,995.1,99.51,77781.37006,4,380,11.9729,70.42882353,100,97.486,99.9947,99.6651,86,1.92206,1.684595,1.105386,1.606079,1.859191,1.378657,0.02,0.01,0.06,0.98,0.99,0.94
AUT2006,11.9919,AUT,Austria,2006,1000,ECS,Europe and Central Asia,HIC,High income,0.478445646,0.478445658,42496.35,20332.19361,20332.19415,8268641,194428,204762,399190,241159,259184,253177,282135,341260,353513,316683,2047111,3.9,996.1,77422.09702,9.4,77725.2254,5,"99,995",100,4.7,995.3,99.53,77359.91684,4,367,11.9919,70.54058824,100,97.6923,99.9929,99.6611,83,1.914531,1.831036,1.075933,1.644535,1.913557,1.372685,0.02,0.01,0.06,0.98,0.99,0.94
AUT2007,11.9451,AUT,Austria,2007,1000,ECS,Europe and Central Asia,HIC,High income,0.478894932,0.47889495,43937.71,21041.54664,21041.54742,8295487,193766,204006,397772,243731,258891,257752,273813,330866,356228,326658,2047939,3.8,996.2,76028.47017,9.2,76318.4804,5,"99,995",100,4.6,995.4,99.54,75967.41539,4,358,11.9451,70.26529412,100,97.8986,99.9911,99.657,85,2.013397,1.870187,1.283752,1.690031,1.960128,1.369262,0.02,0.01,0.06,0.98,0.99,0.94
AUT2008,11.8839,AUT,Austria,2008,1000,ECS,Europe and Central Asia,HIC,High income,0.483787045,0.483787045,44440.05,21499.52048,21499.52048,8321496,191951,202010,393961,246156,257193,264383,267499,318950,357036,335428,2046645,3.8,996.2,77095.83113,9.3,77389.9128,5,"99,995",100,4.5,995.5,99.55,77041.65819,4,351,11.8839,69.90529412,100,98.105,99.9893,99.653,83,1.843035,1.78084,1.339206,1.606344,1.922995,1.358464,0.02,0.01,0.06,0.98,0.99,0.94
AUT2009,11.8717,AUT,Austria,2009,1000,ECS,Europe and Central Asia,HIC,High income,0.488150899,0.488150908,42655.19,20822.16934,20822.16971,8343323,190168,200110,390278,246742,255512,270496,263683,307032,355048,342604,2041117,3.7,996.3,76474.56489,9.2,76758.5716,5,"99,995",100,4.5,995.5,99.55,76413.15803,4,345,11.8717,69.83352941,100,98.3113,99.9876,99.649,83,1.703025,1.66658,1.190602,1.452587,1.78489,1.392846,0.02,0.01,0.07,0.98,0.99,0.93
AUT2010,11.7783,AUT,Austria,2010,1000,ECS,Europe and Central Asia,HIC,High income,0.483984609,0.483984596,43334.51,20973.23586,20973.23531,8363404,189350,199420,388770,244753,254795,274454,262752,296424,350014,348105,2031297,3.6,996.4,78332.98001,9.4,78615.9976,5,"99,995",100,4.3,995.7,99.57,78277.94881,4,338,11.7783,69.28411765,100,98.5176,99.9858,99.645,86,1.603519,1.817601,1.152648,1.452815,1.808519,1.430291,0.02,0.01,0.07,0.98,0.99,0.93
AUT2011,11.7091,AUT,Austria,2011,1000,ECS,Europe and Central Asia,HIC,High income,0.483432952,0.483432959,44451,21489.07817,21489.07844,8391643,188845,199066,387911,243363,257397,276791,264237,286761,342258,351759,2022566,3.5,996.5,77769.13192,9.3,78042.2799,5,"99,995",100,4.2,995.8,99.58,77714.50232,4,330,11.7091,68.87705882,100,98.7239,99.9841,99.641,89,1.477266,1.608545,1.193522,1.382634,1.808492,1.402444,0.02,0.01,0.07,0.98,0.99,0.93
AUT2012,11.7051,AUT,Austria,2012,1000,ECS,Europe and Central Asia,HIC,High income,0.490239677,0.490239665,44549.88,21840.11878,21840.11825,8429991,189255,199770,389025,239292,261342,277726,269657,278688,332092,354521,2013318,3.3,996.7,78980.41708,9.4,79241.9154,5,"99,995",100,4,996,99.6,78924.94774,4,321,11.7051,68.85352941,100,98.9143,99.9823,99.6394,92,1.434778,1.568167,1.340567,1.524189,1.864357,1.448773,0.01,0.01,0.07,0.99,0.99,0.93
AUT2013,11.8067,AUT,Austria,2013,1000,ECS,Europe and Central Asia,HIC,High income,0.496976205,0.496976197,44299.38,22015.73775,22015.73741,8479823,190646,201629,392275,233147,265434,278190,277644,272821,320565,355961,2003762,3.2,996.8,79455.26312,9.4,79710.3362,5,"99,995",100,3.9,996.1,99.61,79399.46589,4,313,11.8067,69.45117647,100,98.9126,99.9805,99.6391,95,1.54453,1.578917,1.364101,1.490679,1.84264,1.456567,0.01,0.01,0.07,0.99,0.99,0.93
AUT2014,11.8504,AUT,Austria,2014,1000,ECS,Europe and Central Asia,HIC,High income,0.497017871,0.497017854,44245.17,21990.64019,21990.63944,8546356,192999,204542,397541,226598,268084,279814,286058,270102,309584,355489,1995729,3.1,996.9,81790.67805,9.6,82045.0176,5,"99,995",100,3.8,996.2,99.62,81733.24653,4,308,11.8504,69.70823529,100,98.911,99.9786,99.6387,98,1.47129,1.559177,1.2707,1.48773,1.942881,1.391321,0.01,0.01,0.07,0.99,0.99,0.93
AUT2015,11.9151,AUT,Austria,2015,1000,ECS,Europe and Central Asia,HIC,High income,0.501215301,0.5012153,44195.82,22151.62125,22151.62117,8642699,196610,208719,405329,221323,268548,283652,293854,271440,300852,353128,1992797,3,997,84444.35485,9.8,84698.4502,5,"99,995",100,3.7,996.3,99.63,84385.06593,4,305,11.9151,70.08882353,100,98.9094,99.9767,99.6384,93,1.511966,1.481696,1.143079,1.403266,1.849107,1.383533,0.01,0.01,0.07,0.99,0.99,0.93
AUT2016,11.9917,AUT,Austria,2016,1000,ECS,Europe and Central Asia,HIC,High income,0.485367226,0.485367246,44590.25,21642.64597,21642.64683,8736668,200802,213243,414045,220127,266807,286652,298965,276193,293700,347756,1990200,3,997,87104.57996,10,87366.68,5,"99,995",100,3.6,996.4,99.64,87052.15995,4,305,11.9917,70.53941176,100,98.9078,99.9748,99.638,87,1.539869,1.510521,0.9096388,1.440436,1.800264,1.337481,0.01,0.01,0.07,0.99,0.99,0.93
AUT2017,12.0089,AUT,Austria,2017,1000,ECS,Europe and Central Asia,HIC,High income,0.484827469,0.484855053,45281.72,21953.82172,21955.07073,8797566,205029,217640,422669,219310,261717,289525,300665,283305,286685,338080,1979287,2.9,997.1,87720.53059,10,87975.66,5,"99,995",100,3.6,996.4,99.64,87658.94762,4,306,12.0089,70.64058824,100,98.9062,99.9729,99.6376,90,1.545208,1.507205,1.046833,1.440179,1.84235,1.385913,0.01,0.01,0.08,0.99,0.99,0.92
AUT2018,11.9925,AUT,Austria,2018,1000,ECS,Europe and Central Asia,HIC,High income,0.489087627,0.489166316,46188.96,22590.44882,22594.08342,8840521,209243,221887,431130,218759,254811,291945,300421,291731,281084,326102,1964853,2.9,997.1,85504.36984,9.7,85753.0537,,,,3.6,996.4,99.64,85444.34271,,310,11.9925,70.54411765,100,98.9045,99.9728,99.6391,85,1.605723,1.494416,0.902334,1.531354,1.896155,1.387745,0.01,0.01,0.08,0.99,0.99,0.92
AUT2019,0,AUT,Austria,2019,1000,ECS,Europe and Central Asia,HIC,High income,0.491957853,0.491688361,46669.75,22959.55001,22946.97287,8879920,213011,225599,438610,218022,248243,292941,300376,299561,278196,314362,1951701,2.9,997.1,85000.01503,9.6,85247.232,,,,3.6,996.4,99.64,84940.34196,,316,,,100,98.9026,99.9727,99.6408,85,1.557738,1.527737,0.9167479,1.459237,1.904162,1.338795,0.01,0.01,0.07,0.99,0.99,0.93
AUT2020,0,AUT,Austria,2020,1000,ECS,Europe and Central Asia,HIC,High income,0.489533601,0.490375464,43346.43,21219.53396,21256.02572,8916864,215637,228074,443711,216690,243059,291622,301519,305357,278450,304221,1940918,3,997,83567.06604,9.4,83818.5216,,,,3.6,996.4,99.64,83516.77492,,322,,,100,98.9006,99.9726,99.6425,85,1.509674,1.655057,0.851911,1.401355,1.810441,1.398979,0.01,0.01,0.07,0.99,0.99,0.93
AUT2021,,AUT,Austria,2021,1000,ECS,Europe and Central Asia,HIC,High income,0.500248221,,45090.76,22556.57248,,8956279,218896,231004,449900,214809,237761,286323,302193,308800,281832,295947,1927665,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.06,0.99,0.99,0.94
AZE1980,0,AZE,Azerbaijan,1980,1000,ECS,Europe and Central Asia,UMC,Upper middle income,,0,,,0,6150735,340415,356830,697245,396964,327754,231567,145586,116765,195967,156376,1570979,,,,26.591,163554.1944,,,,,,,,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AZE1981,9.88359,AZE,Azerbaijan,1981,1000,ECS,Europe and Central Asia,UMC,Upper middle income,,0,,,0,6249312,347209,364395,711604,397106,344361,250686,158912,111721,185832,164953,1613571,,,,26.3,164356.9056,,,,,,,,,,9.88359,58.13876471,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
AZE1982,0,AZE,Azerbaijan,1982,1000,ECS,Europe and Central Asia,UMC,Upper middle income,,0,,,0,6349555,355552,373525,729077,392452,360173,269315,174336,113386,167566,176932,1654160,85.8,914.2,146280.0322,25.2,160008.786,,,,109.6,890.4,89.04,142471.8231,,,9.976972,58.688070591999995,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
